"Function / Call Stack","CPU Time","Instructions Retired","Microarchitecture Usage","Module","Function (Full)","Source File","Start Address"
"ImageProcessing::convolution","21.6893","255989774694","","kip_sequential_profile.exe","ImageProcessing::convolution(class Image const &,class Kernel const &)","ImageProcessing.cpp","0x1400220e0"
"main","4.17436","4483930883","","kip_sequential_profile.exe","main","profile.cpp","0x140001000"
"Pixel::getR","2.69232","38076928650","","kip_sequential_profile.exe","Pixel::getR(void)","Pixel.cpp","0x140023ec0"
"Pixel::~Pixel","2.54145","35938040731","","kip_sequential_profile.exe","Pixel::~Pixel(void)","Pixel.cpp","0x140023eb0"
"Pixel::getG","2.52147","34204759930","","kip_sequential_profile.exe","Pixel::getG(void)","Pixel.cpp","0x140023ed0"
"Pixel::getB","2.45519","34363616562","","kip_sequential_profile.exe","Pixel::getB(void)","Pixel.cpp","0x140023ee0"
"func@0x1406acbf0","1.88348","3360948135","","ntoskrnl.exe","func@0x1406acbf0","[Unknown]","0x1406acbf0"
"func@0x140229e70","0.422754","751437826","","ntoskrnl.exe","func@0x140229e70","[Unknown]","0x140229e70"
"stbiw__jpg_processDU","0.393876","2113906767","","kip_sequential_profile.exe","stbiw__jpg_processDU(struct stbi__write_context *, int *, int *, float *, int, float *, int, unsigned short[2] *, unsigned short[2] *)","stb_image_write.h","0x14001ff50"
"fwrite","0.308677","2967384490","","ucrtbase.dll","fwrite","[Unknown]","0x180035f90"
"stbi__jpeg_decode_block_prog_ac","0.216771","1105952338","","kip_sequential_profile.exe","stbi__jpeg_decode_block_prog_ac(struct stbi__jpeg *, short *, struct stbi__huffman *, short *)","stb_image.h","0x14001bce0"
"getChannelAsUint8","0.131114","1487614718","","kip_sequential_profile.exe","getChannelAsUint8(float)","ImageProcessing.cpp","0x1400220c0"
"STBImageReader::loadRGBImage","0.106731","476734732","","kip_sequential_profile.exe","STBImageReader::loadRGBImage(class std::filesystem::path const &)","STBImageReader.cpp","0x14000b3d0"
"KeGetCurrentProcessorNumberEx","0.103138","184282699","","ntoskrnl.exe","KeGetCurrentProcessorNumberEx","[Unknown]","0x140414300"
"malloc_base","0.0993135","523572531","","ucrtbase.dll","malloc_base","[Unknown]","0x180010100"
"std::vector<Pixel,std::allocator<Pixel> >::operator[]","0.0836216","1267996517","","kip_sequential_profile.exe","std::vector<Pixel,std::allocator<Pixel> >::operator[]","vector","0x1400222e6"
"stbiw__jpg_DCT","0.0816044","1282344264","","kip_sequential_profile.exe","stbiw__jpg_DCT(float *, float *, float *, float *, float *, float *, float *, float *)","stb_image_write.h","0x140020c70"
"std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::_Construct_n<std::vector<Pixel,std::allocator<Pixel> > *const &,std::vector<Pixel,std::allocator<Pixel> > *const &>","0.0810321","995718943","","kip_sequential_profile.exe","std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::_Construct_n<std::vector<Pixel,std::allocator<Pixel> > *const &,std::vector<Pixel,std::allocator<Pixel> > *const &>(const unsigned __int64, class std::vector<Pixel,std::allocator<Pixel> > * & const, class std::vector<Pixel,std::allocator<Pixel> > * & const)","vector","0x140021a00"
"stbi_write_jpg_core","0.0774881","529872611","","kip_sequential_profile.exe","stbi_write_jpg_core(struct stbi__write_context *, int, int, int, const void *, int)","stb_image_write.h","0x140009520"
"PsGetCurrentThreadId","0.0686581","124450236","","ntoskrnl.exe","PsGetCurrentThreadId","[Unknown]","0x1404501d0"
"stbiw__jpg_writeBits","0.0605587","501257817","","kip_sequential_profile.exe","stbiw__jpg_writeBits(struct stbi__write_context *, int *, int *, const unsigned short *)","stb_image_write.h","0x140020be0"
"_chkstk","0.055383","89631925","","ntoskrnl.exe","_chkstk","[Unknown]","0x1406ae670"
"stbi__YCbCr_to_RGB_simd","0.0548647","1003161511","","kip_sequential_profile.exe","stbi__YCbCr_to_RGB_simd(unsigned char *, const unsigned char *, const unsigned char *, const unsigned char *, int, int)","stb_image.h","0x140017cb0"
"stbi__jpeg_huff_decode","0.0481078","174455847","","kip_sequential_profile.exe","stbi__jpeg_huff_decode","stb_image.h","0x14001be55"
"PsGetCurrentProcessId","0.0478988","84743487","","ntoskrnl.exe","PsGetCurrentProcessId","[Unknown]","0x140449180"
"func@0x140227840","0.0408277","0","","ntoskrnl.exe","func@0x140227840","[Unknown]","0x140227840"
"stbi__parse_entropy_coded_data","0.0346356","103647173","","kip_sequential_profile.exe","stbi__parse_entropy_coded_data(struct stbi__jpeg *)","stb_image.h","0x14001a9c0"
"stbi__jpeg_get_bit","0.0323398","91533152","","kip_sequential_profile.exe","stbi__jpeg_get_bit","stb_image.h","0x14001c085"
"std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::operator[]","0.0272715","190802688","","kip_sequential_profile.exe","std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::operator[]","vector","0x1400223d8"
"STBImageReader::saveJPGImage","0.0270014","366760913","","kip_sequential_profile.exe","STBImageReader::saveJPGImage(class Image const &,class std::filesystem::path const &)","STBImageReader.cpp","0x14000b9a0"
"stbi__grow_buffer_unsafe","0.0262123","110612847","","kip_sequential_profile.exe","stbi__grow_buffer_unsafe(struct stbi__jpeg *)","stb_image.h","0x14001b870"
"std::vector<Pixel,std::allocator<Pixel> >::~vector","0.0261361","218202174","","kip_sequential_profile.exe","std::vector<Pixel,std::allocator<Pixel> >::~vector","vector","0x14002220c"
"std::vector<Pixel,std::allocator<Pixel> >::~vector","0.0260618","227500373","","kip_sequential_profile.exe","std::vector<Pixel,std::allocator<Pixel> >::~vector","vector","0x14000b52d"
"std::vector<Pixel,std::allocator<Pixel> >::~vector","0.0249159","226546214","","kip_sequential_profile.exe","std::vector<Pixel,std::allocator<Pixel> >::~vector","vector","0x140022bf1"
"std::filesystem::path::~path","0.0227949","14492064","","kip_sequential_profile.exe","std::filesystem::path::~path","filesystem","0x14000114f"
"Pixel::Pixel","0.0191018","110256307","","kip_sequential_profile.exe","Pixel::Pixel(unsigned char,unsigned char,unsigned char)","Pixel.cpp","0x140023ea0"
"stbi__idct_simd","0.0188439","227054280","","kip_sequential_profile.exe","stbi__idct_simd(unsigned char *, int, short *)","stb_image.h","0x140017490"
"stbiw__jpg_calcBits","0.0188192","138398757","","kip_sequential_profile.exe","stbiw__jpg_calcBits(int, unsigned short *)","stb_image_write.h","0x140020de0"
"func@0x1406b47ae","0.0182203","91472426","","ntoskrnl.exe","func@0x1406b47ae","[Unknown]","0x1406b47ae"
"std::filesystem::path::~path","0.0173703","25589882","","kip_sequential_profile.exe","std::filesystem::path::~path","filesystem","0x140001615"
"std::vector<unsigned char,std::allocator<unsigned char> >::vector","0.0149658","19440481","","kip_sequential_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::vector","vector","0x14000b9e8"
"load_jpeg_image","0.0144122","12245322","","kip_sequential_profile.exe","load_jpeg_image(struct stbi__jpeg *, int *, int *, int *, int)","stb_image.h","0x140019650"
"func@0x140227afb","0.0139844","0","","ntoskrnl.exe","func@0x140227afb","[Unknown]","0x140227afb"
"func@0x14028ede3","0.0135654","31225144","","ntoskrnl.exe","func@0x14028ede3","[Unknown]","0x14028ede3"
"func@0x1406a9da3","0.0133716","0","","ntoskrnl.exe","func@0x1406a9da3","[Unknown]","0x1406a9da3"
"stbiw__putc","0.0128964","109238968","","kip_sequential_profile.exe","stbiw__putc(struct stbi__write_context *, unsigned char)","stb_image_write.h","0x14001ff00"
"std::vector<Pixel,std::allocator<Pixel> >::operator[]","0.0128716","68218769","","kip_sequential_profile.exe","std::vector<Pixel,std::allocator<Pixel> >::operator[]","vector","0x1400223e2"
"fread","0.0128244","51300030","","ucrtbase.dll","fread","[Unknown]","0x180038720"
"func@0x1406a77e0","0.0109576","25137518","","ntoskrnl.exe","func@0x1406a77e0","[Unknown]","0x1406a77e0"
"Image::Image","0.0106557","13462126","","kip_sequential_profile.exe","Image::Image(unsigned int,unsigned int,class std::vector<class std::vector<class Pixel,class std::allocator<class Pixel> >,class std::allocator<class std::vector<class Pixel,class std::allocator<class Pixel> > > > const &)","Image.cpp","0x140021920"
"Image::getData","0.010566","8886408","","kip_sequential_profile.exe","Image::getData(void)","Image.cpp","0x1400219b0"
"std::unique_ptr<Image,std::default_delete<Image> >::~unique_ptr","0.0104472","40703804","","kip_sequential_profile.exe","std::unique_ptr<Image,std::default_delete<Image> >::~unique_ptr","memory","0x140001856"
"ImageProcessing::extendEdge","0.0103173","264566213","","kip_sequential_profile.exe","ImageProcessing::extendEdge(class Image const &,unsigned int)","ImageProcessing.cpp","0x140022af0"
"func@0x140bb478a","0.00967868","13058084","","ntoskrnl.exe","func@0x140bb478a","[Unknown]","0x140bb478a"
"std::unique_ptr<Image,std::default_delete<Image> >::~unique_ptr","0.00927806","49435726","","kip_sequential_profile.exe","std::unique_ptr<Image,std::default_delete<Image> >::~unique_ptr","memory","0x140001877"
"std::vector<float,std::allocator<float> >::operator[]","0.00847416","118150178","","kip_sequential_profile.exe","std::vector<float,std::allocator<float> >::operator[]","vector","0x140022300"
"std::unique_ptr<Image,std::default_delete<Image> >::~unique_ptr","0.0082433","42083885","","kip_sequential_profile.exe","std::unique_ptr<Image,std::default_delete<Image> >::~unique_ptr","memory","0x140001814"
"std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::~vector","0.0078252","29534958","","kip_sequential_profile.exe","std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::~vector","vector","0x14000bb95"
"stbi_write_jpg","0.00737731","6775584","","kip_sequential_profile.exe","stbi_write_jpg","stb_image_write.h","0x14000b2d0"
"std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::~vector","0.00725262","36003388","","kip_sequential_profile.exe","std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::~vector","vector","0x1400231f2"
"stbi__jpeg_decode_block_prog_dc","0.00717367","39215219","","kip_sequential_profile.exe","stbi__jpeg_decode_block_prog_dc(struct stbi__jpeg *, short *, struct stbi__huffman *, int)","stb_image.h","0x14001b9e0"
"std::vector<Pixel,std::allocator<Pixel> >::operator[]","0.00715627","80487075","","kip_sequential_profile.exe","std::vector<Pixel,std::allocator<Pixel> >::operator[]","vector","0x14000b5ed"
"ExpInterlockedPopEntrySList","0.0071132","25749662","","ntoskrnl.exe","ExpInterlockedPopEntrySList","[Unknown]","0x1406ae280"
"func@0x1402bfac0","0.00681862","42501712","","ntoskrnl.exe","func@0x1402bfac0","[Unknown]","0x1402bfac0"
"stbi__jpeg_get_bit","0.00645133","21346337","","kip_sequential_profile.exe","stbi__jpeg_get_bit","stb_image.h","0x14001c000"
"stbi__resample_row_hv_2_simd","0.00643898","112269038","","kip_sequential_profile.exe","stbi__resample_row_hv_2_simd(unsigned char *, unsigned char *, unsigned char *, int, int)","stb_image.h","0x140017f10"
"std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::~vector","0.00634768","30933083","","kip_sequential_profile.exe","std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::~vector","vector","0x140022512"
