"CPU Time","Memory Bound","Memory Bound","Loads","Stores","LLC Miss Count","Module","Function (Full)","Source File","Start Address"
"20.9469","0.00612763","0","56550560000","25698980000","0","kip_sequential_profile.exe","ImageProcessing::convolution(class Image const &,class Kernel const &)","ImageProcessing.cpp","0x1400220e0"
"2.89149","0.00599631","0","8194800000","3822860000","50020","kip_sequential_profile.exe","Pixel::getR(void)","Pixel.cpp","0x140023ec0"
"2.74639","0.0079694","","8028840000","3833900000","0","kip_sequential_profile.exe","Pixel::~Pixel(void)","Pixel.cpp","0x140023eb0"
"2.67079","0.00650512","0.101461","6980660000","3409060000","0","kip_sequential_profile.exe","Pixel::getG(void)","Pixel.cpp","0x140023ed0"
"2.65529","0.00593765","0","6890220000","3426180000","0","kip_sequential_profile.exe","Pixel::getB(void)","Pixel.cpp","0x140023ee0"
"0.368398","0.00793651","0","318500000","196100000","50020","kip_sequential_profile.exe","stbiw__jpg_processDU(struct stbi__write_context *, int *, int *, float *, int, float *, int, unsigned short[2] *, unsigned short[2] *)","stb_image_write.h","0x14001ff50"
"0.220899","0.0209205","0","274000000","96100000","50020","kip_sequential_profile.exe","stbi__jpeg_decode_block_prog_ac(struct stbi__jpeg *, short *, struct stbi__huffman *, short *)","stb_image.h","0x14001bce0"
"0.159899","0.0167598","","500800000","165700000","0","kip_sequential_profile.exe","getChannelAsUint8(float)","ImageProcessing.cpp","0x1400220c0"
"0.119999","0.266436","0","104600000","46500000","0","kip_sequential_profile.exe","STBImageReader::loadRGBImage(class std::filesystem::path const &)","STBImageReader.cpp","0x14000b3d0"
"0.1031","0.00546448","0","440440000","232280000","0","kip_sequential_profile.exe","std::vector<Pixel,std::allocator<Pixel> >::operator[]","vector","0x1400222e6"
"0.0812996","0.00625","0","289200000","213800000","0","kip_sequential_profile.exe","stbiw__jpg_DCT(float *, float *, float *, float *, float *, float *, float *, float *)","stb_image_write.h","0x140020c70"
"0.0782997","0.0060241","0","129300000","103800000","0","ntdll.dll","RtlLeaveCriticalSection","[Unknown]","0x18007a190"
"0.0757997","0","0","124000000","88300000","0","ntdll.dll","RtlEnterCriticalSection","[Unknown]","0x18007a090"
"0.0610997","0.339506","0","163100000","155800000","0","kip_sequential_profile.exe","std::_Default_allocator_traits<std::allocator<Pixel> >::construct","xmemory","0x140021b40"
"0.0571998","0.0530303","0","62300000","80200000","0","kip_sequential_profile.exe","stbi__YCbCr_to_RGB_simd(unsigned char *, const unsigned char *, const unsigned char *, const unsigned char *, int, int)","stb_image.h","0x140017cb0"
"0.0529998","0.0152672","0","134800000","69200000","0","kip_sequential_profile.exe","stbiw__jpg_writeBits(struct stbi__write_context *, int *, int *, const unsigned short *)","stb_image_write.h","0x140020be0"
"0.0491998","0.015873","0","37600000","16600000","0","kip_sequential_profile.exe","stbi__jpeg_huff_decode","stb_image.h","0x14001be55"
"0.0444998","0.122449","0","15400000","7900000","0","ntoskrnl.exe","func@0x1406b47ae","[Unknown]","0x1406b47ae"
"0.0437998","0.0353982","0","101800000","25300000","0","kip_sequential_profile.exe","stbi_write_jpg_core(struct stbi__write_context *, int, int, int, const void *, int)","stb_image_write.h","0x140009520"
"0.0325999","0.225806","0","86300000","61700000","0","kip_sequential_profile.exe","STBImageReader::saveJPGImage(class Image const &,class std::filesystem::path const &)","STBImageReader.cpp","0x14000b9a0"
"0.0322999","0.166667","0","12100000","8400000","0","ntoskrnl.exe","func@0x1406a77e0","[Unknown]","0x1406a77e0"
"0.0318999","0.0153846","0","18500000","8000000","0","kip_sequential_profile.exe","stbi__jpeg_get_bit","stb_image.h","0x14001c085"
"0.0300999","0","0","24600000","7500000","0","kip_sequential_profile.exe","std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::operator[]","vector","0x1400223d8"
"0.0280999","0.030303","0","28000000","11300000","0","kip_sequential_profile.exe","stbi__grow_buffer_unsafe(struct stbi__jpeg *)","stb_image.h","0x14001b870"
"0.0261999","0.030303","0","33500000","82200000","0","ucrtbase.dll","func@0x180036180","[Unknown]","0x180036180"
"0.0241999","0.190476","0","74800000","67900000","0","kip_sequential_profile.exe","std::_Default_allocator_traits<std::allocator<Pixel> >::construct","xmemory","0x1400215e0"
"0.0216999","0.0625","0","61700000","8700000","0","kip_sequential_profile.exe","Pixel::Pixel(unsigned char,unsigned char,unsigned char)","Pixel.cpp","0x140023ea0"
"0.0215999","0.0377358","0","33200000","17800000","50020","kip_sequential_profile.exe","stbi__idct_simd(unsigned char *, int, short *)","stb_image.h","0x140017490"
"0.0194999","0","0","42800000","16500000","0","kip_sequential_profile.exe","stbiw__jpg_calcBits(int, unsigned short *)","stb_image_write.h","0x140020de0"
