"Function / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Back-End Bound Auxiliary","Average CPU Frequency","Module","Function (Full)","Source File","Start Address"
"ImageProcessing::convolution","20.4663","77706048000","269742412800","0.288075","0.61531","0.292315","0.0687632","0.0236112","0.395698","0.0760958","0","0.943588","0.943588","3.79678e+09","kip_sequential_profile.exe","ImageProcessing::convolution(class Image const &,class Kernel const &)","ImageProcessing.cpp","0x1400220e0"
"Pixel::getR","2.85629","10766246400","32801664000","0.328223","0.663023","0.163946","0.0988644","0.0741661","","0","","","","3.76931e+09","kip_sequential_profile.exe","Pixel::getR(void)","Pixel.cpp","0x140023ec0"
"Pixel::~Pixel","2.68479","10099622400","35391552000","0.285368","0.670929","0.24658","0.0631599","0.0193309","1","0","0","0","0","3.76179e+09","kip_sequential_profile.exe","Pixel::~Pixel(void)","Pixel.cpp","0x140023eb0"
"Pixel::getG","2.63599","9948556800","29311027200","0.339413","0.582474","0.163125","0.234179","0.020222","0.257555","0.103022","0","1","1","3.77413e+09","kip_sequential_profile.exe","Pixel::getG(void)","Pixel.cpp","0x140023ed0"
"Pixel::getB","2.57169","9822489600","32087731200","0.306114","0.543839","0.196022","0.236964","0.023175","0","0","","","","3.81947e+09","kip_sequential_profile.exe","Pixel::getB(void)","Pixel.cpp","0x140023ee0"
"stbiw__jpg_processDU","0.363598","1392384000","1719513600","0.809755","0.23625","0.244062","0.429063","0.090625","0","0","0","0","0","3.82946e+09","kip_sequential_profile.exe","stbiw__jpg_processDU(struct stbi__write_context *, int *, int *, float *, int, float *, int, unsigned short[2] *, unsigned short[2] *)","stb_image_write.h","0x14001ff50"
"stbi__jpeg_decode_block_prog_ac","0.223899","846720000","1133529600","0.746977","0.195413","0.35367","0.372936","0.0779817","0","0","0","0","0","3.7817e+09","kip_sequential_profile.exe","stbi__jpeg_decode_block_prog_ac(struct stbi__jpeg *, short *, struct stbi__huffman *, short *)","stb_image.h","0x14001bce0"
"getChannelAsUint8","0.151199","563404800","1852032000","0.304209","0.589474","0.431579","0","0.0789474","","0","","0","0","3.72624e+09","kip_sequential_profile.exe","getChannelAsUint8(float)","ImageProcessing.cpp","0x1400220c0"
"STBImageReader::loadRGBImage","0.119499","451046400","603456000","0.747439","0.118584","0.020354","0.135398","0.725664","0","0","0","0","0","3.77446e+09","kip_sequential_profile.exe","STBImageReader::loadRGBImage(class std::filesystem::path const &)","STBImageReader.cpp","0x14000b3d0"
"std::vector<Pixel,std::allocator<Pixel> >::operator[]","0.0946996","342720000","1164979200","0.294186","0.395556","0.112593","0.477037","0.0148148","0.669643","0","0","1","1","3.61902e+09","kip_sequential_profile.exe","std::vector<Pixel,std::allocator<Pixel> >::operator[]","vector","0x1400222e6"
"stbiw__jpg_DCT","0.0818996","299174400","1517644800","0.197131","0.728571","0.097619","0.12619","0.047619","0","0","0","0","0","3.65294e+09","kip_sequential_profile.exe","stbiw__jpg_DCT(float *, float *, float *, float *, float *, float *, float *, float *)","stb_image_write.h","0x140020c70"
"RtlLeaveCriticalSection","0.0747997","262080000","793497600","0.330285","0.296203","0.213924","0.439241","0.0506329","0","0","0","0","0","3.50376e+09","ntdll.dll","RtlLeaveCriticalSection","[Unknown]","0x18007a190"
"RtlEnterCriticalSection","0.0675997","267724800","849139200","0.31529","0.510145","0.249275","0.24058","0","0","0","0","0","0","3.96044e+09","ntdll.dll","RtlEnterCriticalSection","[Unknown]","0x18007a090"
"stbi__YCbCr_to_RGB_simd","0.0573997","215577600","1012838400","0.212845","0.647458","0.10678","0.144068","0.101695","0","0","0","0","0","3.75572e+09","kip_sequential_profile.exe","stbi__YCbCr_to_RGB_simd(unsigned char *, const unsigned char *, const unsigned char *, const unsigned char *, int, int)","stb_image.h","0x140017cb0"
"std::_Default_allocator_traits<std::allocator<Pixel> >::construct","0.0570998","203750400","739737600","0.275436","0.576271","0.0661017","0.171186","0.186441","0","0","0","0","0","3.56832e+09","kip_sequential_profile.exe","std::_Default_allocator_traits<std::allocator<Pixel> >::construct","xmemory","0x140021b40"
"stbiw__jpg_writeBits","0.0550998","217190400","590822400","0.367607","0.425455","0.234545","0.321818","0.0181818","0","0","0","0","0","3.94177e+09","kip_sequential_profile.exe","stbiw__jpg_writeBits(struct stbi__write_context *, int *, int *, const unsigned short *)","stb_image_write.h","0x140020be0"
"func@0x1406b47ae","0.0455998","173376000","56716800","3.05687","0.140426","0.204255","0","0.702128","0","0","0","0","0","3.80212e+09","ntoskrnl.exe","func@0x1406b47ae","[Unknown]","0x1406b47ae"
"stbi__jpeg_huff_decode","0.0455998","173376000","152140800","1.13958","0.1125","0.36875","0.435417","0.0833333","0","0","0","0","0","3.80212e+09","kip_sequential_profile.exe","stbi__jpeg_huff_decode","stb_image.h","0x14001be55"
"stbi_write_jpg_core","0.0423998","156710400","577651200","0.271289","0.622222","0.075","0","0.388889","0","0","0","0","0","3.69602e+09","kip_sequential_profile.exe","stbi_write_jpg_core(struct stbi__write_context *, int, int, int, const void *, int)","stb_image_write.h","0x140009520"
"STBImageReader::saveJPGImage","0.0299999","113164800","389222400","0.290746","0.5625","0.121875","0.159375","0.15625","0","0","0","0","0","3.77218e+09","kip_sequential_profile.exe","STBImageReader::saveJPGImage(class Image const &,class std::filesystem::path const &)","STBImageReader.cpp","0x14000b9a0"
"stbi__jpeg_get_bit","0.0296999","123110400","95692800","1.28652","0.185185","0.52963","0.248148","0.037037","0","0","0","0","0","4.14515e+09","kip_sequential_profile.exe","stbi__jpeg_get_bit","stb_image.h","0x14001c085"
"std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::operator[]","0.0269999","109939200","354009600","0.310554","0.414815","0.737037","0","0.0740741","0","0","0","0","0","4.07184e+09","kip_sequential_profile.exe","std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::operator[]","vector","0x1400223d8"
