ImageName,ImageDimension,KernelName,KernelDimension,NumReps,TotalTime_s,TimePerRep_s
4K-1,4000x2000,boxBlur,7,3,1.32686,0.442286
4K-1,4000x2000,boxBlur,13,3,3.88139,1.2938
4K-1,4000x2000,boxBlur,19,3,8.11911,2.70637
4K-1,4000x2000,boxBlur,25,3,13.9545,4.65149
4K-2,4000x2000,boxBlur,7,3,1.16336,0.387787
4K-2,4000x2000,boxBlur,13,3,3.77949,1.25983
4K-2,4000x2000,boxBlur,19,3,8.09933,2.69978
4K-2,4000x2000,boxBlur,25,3,13.8445,4.61485
4K-3,4000x2000,boxBlur,7,3,1.1651,0.388366
4K-3,4000x2000,boxBlur,13,3,3.85535,1.28512
4K-3,4000x2000,boxBlur,19,3,8.12268,2.70756
4K-3,4000x2000,boxBlur,25,3,13.9405,4.64684
5K-1,5000x3000,boxBlur,7,3,2.22967,0.743224
5K-1,5000x3000,boxBlur,13,3,7.07813,2.35938
5K-1,5000x3000,boxBlur,19,3,15.0734,5.02448
5K-1,5000x3000,boxBlur,25,3,25.8865,8.62884
5K-2,5000x3000,boxBlur,7,3,2.16475,0.721584
5K-2,5000x3000,boxBlur,13,3,7.0627,2.35423
5K-2,5000x3000,boxBlur,19,3,15.0479,5.01598
5K-2,5000x3000,boxBlur,25,3,25.9151,8.63837
5K-3,5000x3000,boxBlur,7,3,2.16334,0.721114
5K-3,5000x3000,boxBlur,13,3,7.1019,2.3673
5K-3,5000x3000,boxBlur,19,3,15.0697,5.02325
5K-3,5000x3000,boxBlur,25,3,25.8952,8.63174
6K-1,6000x4000,boxBlur,7,3,3.45822,1.15274
6K-1,6000x4000,boxBlur,13,3,11.4099,3.80332
6K-1,6000x4000,boxBlur,19,3,24.0021,8.00071
6K-1,6000x4000,boxBlur,25,3,41.481,13.827
6K-2,6000x4000,boxBlur,7,3,3.4617,1.1539
6K-2,6000x4000,boxBlur,13,3,11.3424,3.78081
6K-2,6000x4000,boxBlur,19,3,24.0177,8.00591
6K-2,6000x4000,boxBlur,25,3,41.4209,13.807
6K-3,6000x4000,boxBlur,7,3,3.49561,1.1652
6K-3,6000x4000,boxBlur,13,3,11.447,3.81567
6K-3,6000x4000,boxBlur,19,3,24.0992,8.03306
6K-3,6000x4000,boxBlur,25,3,41.3876,13.7959
7K-1,7000x5000,boxBlur,7,3,5.05252,1.68417
7K-1,7000x5000,boxBlur,13,3,16.5969,5.5323
7K-1,7000x5000,boxBlur,19,3,34.9827,11.6609
7K-1,7000x5000,boxBlur,25,3,60.1608,20.0536
7K-2,7000x5000,boxBlur,7,3,5.04152,1.68051
7K-2,7000x5000,boxBlur,13,3,16.5032,5.50108
7K-2,7000x5000,boxBlur,19,3,35.05,11.6833
7K-2,7000x5000,boxBlur,25,3,60.1293,20.0431
7K-3,7000x5000,boxBlur,7,3,5.08878,1.69626
7K-3,7000x5000,boxBlur,13,3,16.5326,5.51086
7K-3,7000x5000,boxBlur,19,3,35.0423,11.6808
7K-3,7000x5000,boxBlur,25,3,60.1885,20.0628
