"Function / Call Stack","CPU Time","Instructions Retired","Microarchitecture Usage","Module","Function (Full)","Source File","Start Address"
"ImageProcessing::convolution","9.38486","167779046400","0.667455","kip_sequential_soa_profile.exe","ImageProcessing::convolution(class Image const &,class Kernel const &)","ImageProcessing.cpp","0x140025a90"
" [Unknown]","9.38486","167779046400","0.667455","[Unknown]","[Unknown]","[Unknown]","[Unknown]"
"stbiw__jpg_processDU","0.278199","1372761600","","kip_sequential_soa_profile.exe","stbiw__jpg_processDU(struct stbi__write_context *, int *, int *, float *, int, float *, int, unsigned short[2] *, unsigned short[2] *)","stb_image_write.h","0x140023f40"
"stbi__jpeg_decode_block_prog_ac","0.197699","1087833600","0.201668","kip_sequential_soa_profile.exe","stbi__jpeg_decode_block_prog_ac","stb_image.h","0x140012af5"
"stbi_write_jpg_core","0.0696997","1091328000","0.562089","kip_sequential_soa_profile.exe","stbi_write_jpg_core(struct stbi__write_context *, int, int, int, const void *, int)","stb_image_write.h","0x14000cb90"
"RtlLeaveCriticalSection","0.0695997","867417600","0.379614","ntdll.dll","RtlLeaveCriticalSection","[Unknown]","0x1800413f0"
"RtlEnterCriticalSection","0.0620997","855590400","","ntdll.dll","RtlEnterCriticalSection","[Unknown]","0x1800412f0"
"stbi__YCbCr_to_RGB_simd","0.0492998","1008000000","0.63652","kip_sequential_soa_profile.exe","stbi__YCbCr_to_RGB_simd(unsigned char *, const unsigned char *, const unsigned char *, const unsigned char *, int, int)","stb_image.h","0x14001f570"
"func@0x18001cb40","0.0491998","46233600","0.0623912","vcruntime140.dll","func@0x18001cb40","[Unknown]","0x18001cb40"
"stbi__jpeg_huff_decode","0.0411998","168000000","","kip_sequential_soa_profile.exe","stbi__jpeg_huff_decode","stb_image.h","0x140012ce3"
"stbiw__jpg_DCT","0.0370998","580339200","0.57994","kip_sequential_soa_profile.exe","stbiw__jpg_DCT","stb_image_write.h","0x140024010"
"func@0x18001e560","0.0341999","4300800","0.0394412","vcruntime140.dll","func@0x18001e560","[Unknown]","0x18001e560"
"getChannelAsUint8","0.0279999","442444800","0.373417","kip_sequential_soa_profile.exe","getChannelAsUint8","ImageProcessing.cpp","0x140026022"
"stbi__grow_buffer_unsafe","0.0232999","109939200","0.162897","kip_sequential_soa_profile.exe","stbi__grow_buffer_unsafe(struct stbi__jpeg *)","stb_image.h","0x140021ae0"
"func@0x18001b950","0.0225999","91392000","0.347545","ucrtbase.dll","func@0x18001b950","[Unknown]","0x18001b950"
"stbi__jpeg_get_bit","0.0221999","84940800","0.129887","kip_sequential_soa_profile.exe","stbi__jpeg_get_bit","stb_image.h","0x140012edd"
"fwrite","0.0203999","161280000","0.361801","ucrtbase.dll","fwrite","[Unknown]","0x18001b760"
"STBImageReader::loadRGBImage","0.0187999","358041600","0.622987","kip_sequential_soa_profile.exe","STBImageReader::loadRGBImage(class std::filesystem::path const &)","STBImageReader.cpp","0x14000e300"
"stbi__idct_simd","0.0174999","238156800","0.542241","kip_sequential_soa_profile.exe","stbi__idct_simd(unsigned char *, int, short *)","stb_image.h","0x14001ed60"
"stbiw__jpg_writeBits","0.0169999","130099200","0.365451","kip_sequential_soa_profile.exe","stbiw__jpg_writeBits","stb_image_write.h","0x140024939"
"getChannelAsUint8","0.0146999","313958400","","kip_sequential_soa_profile.exe","getChannelAsUint8","ImageProcessing.cpp","0x140026053"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.0137999","405619200","0.470865","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x14002604b"
"STBImageReader::saveJPGImage","0.0134999","289766400","0.771205","kip_sequential_soa_profile.exe","STBImageReader::saveJPGImage(class Image const &,class std::filesystem::path const &)","STBImageReader.cpp","0x14000e7e0"
