"Function / Call Stack","CPU Time","Memory Bound","Memory Bound","Loads","Stores","LLC Miss Count","Module","Function (Full)","Source File","Start Address"
"ImageProcessing::convolution","7.46127","0.0208668","0","21529640000","422730000","55022","kip_sequential_soa_profile.exe","ImageProcessing::convolution(class Image const &,class Kernel const &)","ImageProcessing.cpp","0x140025a90"
" [Unknown]","7.46127","0.0208668","0","21529640000","422730000","55022","[Unknown]","[Unknown]","[Unknown]","[Unknown]"
"stbi__jpeg_decode_block_prog_ac","0.175799","0.0253456","0","245080000","75460000","0","kip_sequential_soa_profile.exe","stbi__jpeg_decode_block_prog_ac","stb_image.h","0x140012af5"
"stbi__YCbCr_to_RGB_simd","0.0491998","0.0384615","0","66880000","87670000","0","kip_sequential_soa_profile.exe","stbi__YCbCr_to_RGB_simd(unsigned char *, const unsigned char *, const unsigned char *, const unsigned char *, int, int)","stb_image.h","0x14001f570"
"func@0x18001cb40","0.0488998","0.616667","0","11000000","11330000","55022","vcruntime140.dll","func@0x18001cb40","[Unknown]","0x18001cb40"
"stbi__jpeg_huff_decode","0.0437998","0.0102041","0","37180000","11880000","0","kip_sequential_soa_profile.exe","stbi__jpeg_huff_decode","stb_image.h","0x140012ce3"
"func@0x18001e560","0.0311999","0.685714","0","220000","220000","0","vcruntime140.dll","func@0x18001e560","[Unknown]","0x18001e560"
"func@0x140299e00","0.0290999","0.0555556","0","1540000","220000","0","ntoskrnl.exe","func@0x140299e00","[Unknown]","0x140299e00"
"stbi__jpeg_get_bit","0.0245999","0.0322581","0","22000000","9240000","0","kip_sequential_soa_profile.exe","stbi__jpeg_get_bit","stb_image.h","0x140012edd"
"getChannelAsUint8","0.0203999","0.0512821","0","21780000","220000","0","kip_sequential_soa_profile.exe","getChannelAsUint8","ImageProcessing.cpp","0x140026022"
"stbi__grow_buffer_unsafe","0.0200999","0.0204082","0","23320000","10120000","0","kip_sequential_soa_profile.exe","stbi__grow_buffer_unsafe(struct stbi__jpeg *)","stb_image.h","0x140021ae0"
"STBImageReader::loadRGBImage","0.0197999","0.24","0","86900000","52250000","0","kip_sequential_soa_profile.exe","STBImageReader::loadRGBImage(class std::filesystem::path const &)","STBImageReader.cpp","0x14000e300"
"stbiw__jpg_processDU","0.0179999","0.0128205","0","15620000","9130000","0","kip_sequential_soa_profile.exe","stbiw__jpg_processDU(struct stbi__write_context *, int *, int *, float *, int, float *, int, unsigned short[2] *, unsigned short[2] *)","stb_image_write.h","0x140023f40"
"stbi__idct_simd","0.0149999","0.0212766","0","30360000","17600000","0","kip_sequential_soa_profile.exe","stbi__idct_simd(unsigned char *, int, short *)","stb_image.h","0x14001ed60"
"getChannelAsUint8","0.0131999","0.030303","0","33220000","660000","0","kip_sequential_soa_profile.exe","getChannelAsUint8","ImageProcessing.cpp","0x140026053"
"func@0x14034d410","0.0125999","0.0416667","0","1100000","330000","0","ntoskrnl.exe","func@0x14034d410","[Unknown]","0x14034d410"
"stbi_write_jpg_core","0.0114","0.0555556","0","7260000","4290000","55022","kip_sequential_soa_profile.exe","stbi_write_jpg_core(struct stbi__write_context *, int, int, int, const void *, int)","stb_image_write.h","0x14000cb90"
"func@0x1406bb5ae","0.0114","1","0","3960000","1100000","0","ntoskrnl.exe","func@0x1406bb5ae","[Unknown]","0x1406bb5ae"
"ImageProcessing::extendEdge","0.0102","0.166667","0","34980000","11110000","0","kip_sequential_soa_profile.exe","ImageProcessing::extendEdge(class Image const &,unsigned int)","ImageProcessing.cpp","0x140026280"
"getChannelAsUint8","0.0102","0.103448","0","23760000","330000","0","kip_sequential_soa_profile.exe","getChannelAsUint8","ImageProcessing.cpp","0x140025fda"
"stbi__jpeg_get_bit","0.00959996","0","0","8580000","2860000","55022","kip_sequential_soa_profile.exe","stbi__jpeg_get_bit","stb_image.h","0x140012e4e"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.00899996","0","0","18700000","880000","0","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x14002604b"
"stbi__parse_entropy_coded_data","0.00839996","0.047619","0","23980000","3960000","0","kip_sequential_soa_profile.exe","stbi__parse_entropy_coded_data","stb_image.h","0x1400129c4"
"func@0x14024aa70","0.00779997","0.148148","0","17820000","16830000","0","ntoskrnl.exe","func@0x14024aa70","[Unknown]","0x14024aa70"
"stbi__jpeg_decode_block_prog_dc","0.00719997","0.272727","","10560000","5610000","0","kip_sequential_soa_profile.exe","stbi__jpeg_decode_block_prog_dc(struct stbi__jpeg *, short *, struct stbi__huffman *, int)","stb_image.h","0x140021c90"
"RtlEnterCriticalSection","0.00689997","0.047619","0","15620000","7700000","0","ntdll.dll","RtlEnterCriticalSection","[Unknown]","0x1800412f0"
"func@0x14028dde0","0.00599997","0.692308","0","5720000","3740000","0","ntoskrnl.exe","func@0x14028dde0","[Unknown]","0x14028dde0"
"stbi__get8","0.00599997","0","0","2420000","1760000","0","kip_sequential_soa_profile.exe","stbi__get8","stb_image.h","0x140021b25"
"RtlLeaveCriticalSection","0.00569998","0.037037","0","17160000","15070000","0","ntdll.dll","RtlLeaveCriticalSection","[Unknown]","0x1800413f0"
"stbi__resample_row_hv_2_simd","0.00569998","0.0666667","0","17600000","2200000","0","kip_sequential_soa_profile.exe","stbi__resample_row_hv_2_simd(unsigned char *, unsigned char *, unsigned char *, int, int)","stb_image.h","0x14001f7d0"
"stbiw__jpg_DCT","0.00479998","0","0","6600000","6270000","0","kip_sequential_soa_profile.exe","stbiw__jpg_DCT","stb_image_write.h","0x140024010"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.00479998","0.0588235","0","20680000","6930000","0","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x1400264e8"
"stbi__jpeg_huff_decode","0.00449998","0","0","9900000","3740000","0","kip_sequential_soa_profile.exe","stbi__jpeg_huff_decode","stb_image.h","0x140013011"
"func@0x140307a70","0.00449998","0.388889","0","4840000","3960000","0","ntoskrnl.exe","func@0x140307a70","[Unknown]","0x140307a70"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.00389998","0","0","2420000","0","0","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x14002601a"
"func@0x1406ae6c0","0.00389998","0.142857","0","1760000","1210000","0","ntoskrnl.exe","func@0x1406ae6c0","[Unknown]","0x1406ae6c0"
"func@0x140201850","0.00359998","0.166667","0","13640000","10230000","0","ntoskrnl.exe","func@0x140201850","[Unknown]","0x140201850"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.00359998","0.0833333","0","15180000","5170000","0","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x1400264ce"
"STBImageReader::saveJPGImage","0.00299999","0","0","18920000","8470000","0","kip_sequential_soa_profile.exe","STBImageReader::saveJPGImage(class Image const &,class std::filesystem::path const &)","STBImageReader.cpp","0x14000e7e0"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.00269999","0","0","16940000","0","0","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x140025f22"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.00269999","0","0","12100000","3520000","0","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x1400264d6"
"func@0x140241a70","0.00239999","0.666667","0","2200000","1980000","0","ntoskrnl.exe","func@0x140241a70","[Unknown]","0x140241a70"
"func@0x14030f65d","0.00239999","0.125","0","1100000","2860000","0","ntoskrnl.exe","func@0x14030f65d","[Unknown]","0x14030f65d"
"func@0x1403441f5","0.00209999","0.833333","0","3960000","1540000","0","ntoskrnl.exe","func@0x1403441f5","[Unknown]","0x1403441f5"
"stbi__jpeg_dequantize","0.00209999","0","0","1320000","220000","0","kip_sequential_soa_profile.exe","stbi__jpeg_dequantize","stb_image.h","0x140013ac0"
"func@0x1402f88d0","0.00209999","0.25","0","3520000","1100000","0","ntoskrnl.exe","func@0x1402f88d0","[Unknown]","0x1402f88d0"
"func@0x140344510","0.00209999","1","0","1980000","5390000","0","ntoskrnl.exe","func@0x140344510","[Unknown]","0x140344510"
