"Function / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Stores Bound","Load Bound","Average CPU Frequency","Module","Function (Full)","Source File","Start Address"
"ImageProcessing::convolution","8.58116","39960345600","168352665600","0.237361","0.732111","0.0321523","0.0238433","0.211894","0.363757","0.0330688","0.437831","0.165344","0","0.396825","4.65675e+09","kip_sequential_soa_profile.exe","ImageProcessing::convolution(class Image const &,class Kernel const &)","ImageProcessing.cpp","0x140025a90"
"stbiw__jpg_processDU","0.278099","1248038400","1446144000","0.863011","0.186408","0.24466","0.457282","0.11165","0","0","0","0","0","0","4.48775e+09","kip_sequential_soa_profile.exe","stbiw__jpg_processDU(struct stbi__write_context *, int *, int *, float *, int, float *, int, unsigned short[2] *, unsigned short[2] *)","stb_image_write.h","0x140023f40"
"stbi__jpeg_decode_block_prog_ac","0.175299","819302400","1066060800","0.768533","0.254962","0.412214","0.218321","0.114504","0","0","0","0","0","0","4.67374e+09","kip_sequential_soa_profile.exe","stbi__jpeg_decode_block_prog_ac","stb_image.h","0x140012af5"
"stbi_write_jpg_core","0.0627997","254016000","1076275200","0.236014","0.730233","0.0534884","0","0.255814","0","0","0","0","0","0","4.04486e+09","kip_sequential_soa_profile.exe","stbi_write_jpg_core(struct stbi__write_context *, int, int, int, const void *, int)","stb_image_write.h","0x14000cb90"
"RtlEnterCriticalSection","0.0582998","258585600","742425600","0.348298","0.523404","0.238298","0.238298","0","0","0","0","0","0","0","4.43545e+09","ntdll.dll","RtlEnterCriticalSection","[Unknown]","0x1800412f0"
"RtlLeaveCriticalSection","0.0582998","261811200","805862400","0.324883","0.425532","0.195745","0.27234","0.106383","0","0","0","0","0","0","4.49078e+09","ntdll.dll","RtlLeaveCriticalSection","[Unknown]","0x1800413f0"
"func@0x18001cb40","0.0478998","215577600","38707200","5.56944","0.0344828","0.0172414","0.706897","0.241379","0","0","0","0","0","0","4.5006e+09","vcruntime140.dll","func@0x18001cb40","[Unknown]","0x18001cb40"
"stbi__YCbCr_to_RGB_simd","0.0460998","217190400","1008537600","0.215352","0.838095","0.114286","0","0.214286","0","0","0","0","0","0","4.71131e+09","kip_sequential_soa_profile.exe","stbi__YCbCr_to_RGB_simd(unsigned char *, const unsigned char *, const unsigned char *, const unsigned char *, int, int)","stb_image.h","0x14001f570"
"stbi__jpeg_huff_decode","0.0388998","181708800","180633600","1.00595","0.247059","0.729412","0","0.176471","0","0","0","0","0","0","4.6712e+09","kip_sequential_soa_profile.exe","stbi__jpeg_huff_decode","stb_image.h","0x140012ce3"
"stbiw__jpg_DCT","0.0361998","165312000","599424000","0.275785","0.672","0.052","0","0.4","0","0","0","0","0","0","4.56665e+09","kip_sequential_soa_profile.exe","stbiw__jpg_DCT","stb_image_write.h","0x140024010"
