ImageName,ImageDimension,KernelName,KernelDimension,NumReps,TotalTime_s,TimePerRep_s
4K-1,4000x2000,boxBlur,7,3,4.90472,1.63491
4K-1,4000x2000,edgeDetection,7,3,4.2908,1.43027
4K-1,4000x2000,boxBlur,13,3,12.6523,4.21743
4K-1,4000x2000,edgeDetection,13,3,11.4972,3.83239
4K-1,4000x2000,boxBlur,19,3,23.8062,7.93542
4K-1,4000x2000,edgeDetection,19,3,22.1068,7.36892
4K-1,4000x2000,boxBlur,25,3,38.435,12.8117
4K-1,4000x2000,edgeDetection,25,3,36.0052,12.0017
4K-2,4000x2000,boxBlur,7,3,4.80875,1.60292
4K-2,4000x2000,edgeDetection,7,3,4.29468,1.43156
4K-2,4000x2000,boxBlur,13,3,12.6505,4.21682
4K-2,4000x2000,edgeDetection,13,3,11.6345,3.87818
4K-2,4000x2000,boxBlur,19,3,23.75,7.91668
4K-2,4000x2000,edgeDetection,19,3,22.0088,7.33627
4K-2,4000x2000,boxBlur,25,3,38.2162,12.7387
4K-2,4000x2000,edgeDetection,25,3,36.007,12.0023
4K-3,4000x2000,boxBlur,7,3,4.79784,1.59928
4K-3,4000x2000,edgeDetection,7,3,4.29245,1.43082
4K-3,4000x2000,boxBlur,13,3,12.7287,4.2429
4K-3,4000x2000,edgeDetection,13,3,11.5917,3.86391
4K-3,4000x2000,boxBlur,19,3,23.982,7.994
4K-3,4000x2000,edgeDetection,19,3,22.1202,7.37341
4K-3,4000x2000,boxBlur,25,3,38.927,12.9757
4K-3,4000x2000,edgeDetection,25,3,37.035,12.345
5K-1,5000x3000,boxBlur,7,3,9.277,3.09233
5K-1,5000x3000,edgeDetection,7,3,8.32102,2.77367
5K-1,5000x3000,boxBlur,13,3,23.7287,7.90956
5K-1,5000x3000,edgeDetection,13,3,21.5715,7.19051
5K-1,5000x3000,boxBlur,19,3,44.5537,14.8512
5K-1,5000x3000,edgeDetection,19,3,41.2689,13.7563
5K-1,5000x3000,boxBlur,25,3,71.7321,23.9107
5K-1,5000x3000,edgeDetection,25,3,67.3081,22.436
5K-2,5000x3000,boxBlur,7,3,8.98384,2.99461
5K-2,5000x3000,edgeDetection,7,3,8.03043,2.67681
